city,state,lat,lon,strategy,city_multiplier,expected_contribution_eur,downside_contribution_eur,upside_contribution_eur,city_prob_loss,risk_adjusted_city_score,adjusted_break_even_monthly_eur,adjusted_adoption_rate,households_k,income_index,brand_fit_index,logistics_index,competition_intensity,regulatory_complexity,savings_pressure_index
Dortmund,North Rhine-Westphalia,51.5136,7.4653,subsidized_65_to_20,0.43522149674986793,4907139.116303604,5405230.232397866,5887597.239410402,0.0,4907139.116303604,21.617959645082284,0.13508925000000002,310.0,0.94,0.72,0.86,0.71,0.6,0.69
Dortmund,North Rhine-Westphalia,51.5136,7.4653,entry_35,0.43522149674986793,2256974.3363557057,2111512.370208346,3747417.3413223205,0.0,2256974.3363557057,37.831429378893986,0.08931675,310.0,0.94,0.72,0.86,0.71,0.6,0.69
Dortmund,North Rhine-Westphalia,51.5136,7.4653,standard_65,0.43522149674986793,-1130323.4465030618,-1541465.5806530863,294820.6344356734,1.0,-3907787.2510206173,70.25836884651741,0.042675000000000005,310.0,0.94,0.72,0.86,0.71,0.6,0.69
Bremen,Bremen,53.0793,8.8017,subsidized_65_to_20,0.3214094829749978,3623904.2833033213,3991742.7501387605,4347969.019948222,0.0,3623904.2833033213,21.18359042993013,0.13508925000000002,220.0,0.97,0.7,0.85,0.62,0.57,0.66
Bremen,Bremen,53.0793,8.8017,entry_35,0.3214094829749978,1666767.289651683,1559344.159863543,2767453.995633347,0.0,1666767.289651683,37.071283252377725,0.08931675,220.0,0.97,0.7,0.85,0.62,0.57,0.66
Bremen,Bremen,53.0793,8.8017,standard_65,0.3214094829749978,-834739.7296504907,-1138366.6914463218,217723.95985024233,1.0,-3539645.734110829,68.84666889727292,0.042675000000000005,220.0,0.97,0.7,0.85,0.62,0.57,0.66
Nuremberg,Bavaria,49.4521,11.0767,subsidized_65_to_20,0.38626242817932965,4355123.734999138,4797183.43424165,5225287.865648769,0.0,4355123.734999138,21.106937039020927,0.13508925000000002,260.0,1.0,0.76,0.88,0.67,0.59,0.63
Nuremberg,Bavaria,49.4521,11.0767,entry_35,0.38626242817932965,2003082.0950009762,1873983.480453197,3325861.733554011,0.0,2003082.0950009762,36.93713981828662,0.08931675,260.0,1.0,0.76,0.88,0.67,0.59,0.63
Nuremberg,Bavaria,49.4521,11.0767,standard_65,0.38626242817932965,-1003170.7586475823,-1368062.567185457,261655.58223780055,1.0,-3749422.020740965,68.597545376818,0.042675000000000005,260.0,1.0,0.76,0.88,0.67,0.59,0.63
Hanover,Lower Saxony,52.3759,9.732,subsidized_65_to_20,0.41829669870714936,4716311.367373052,5195032.825466224,5658641.650180494,0.0,4716311.367373052,21.098419995586575,0.13508925000000002,280.0,0.99,0.75,0.89,0.64,0.58,0.64
Hanover,Lower Saxony,52.3759,9.732,entry_35,0.41829669870714936,2169205.613726702,2029400.3405927287,3601688.5982402363,0.0,2169205.613726702,36.92223499227649,0.08931675,280.0,0.99,0.75,0.89,0.64,0.58,0.64
Hanover,Lower Saxony,52.3759,9.732,standard_65,0.41829669870714936,-1086367.6764000775,-1481521.4054752013,283355.7143112944,1.0,-3853041.5293856137,68.56986498565635,0.042675000000000005,280.0,0.99,0.75,0.89,0.64,0.58,0.64
